"Table 3a: Estimated population of localities by broad age groups, mid-2016",,,,,,,,
,,,,,,,,
Locality Name,Locality Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Kelty,S19001611," 6,730 "," 1,319 "," 4,142 "," 1,269 ",,,
Kemnay,S19001612," 3,870 ", 686 ," 2,424 ", 760 ,,,
Kennoway,S19001613," 4,610 ", 843 ," 2,869 ", 898 ,,,
Kilbarchan,S19001614," 3,480 ", 540 ," 2,138 ", 802 ,,,
Kilbirnie,S19001615," 7,340 "," 1,336 "," 4,651 "," 1,353 ",,,
Kilcreggan,S19001616," 1,270 ", 180 , 754 , 336 ,,,
Killearn,S19001617," 1,690 ", 301 , 989 , 400 ,,,
Killin,S19001618, 770 , 97 , 484 , 189 ,,,
Kilmacolm,S19001619," 4,000 ", 680 ," 2,227 "," 1,093 ",,,
Kilmarnock,S19001620," 46,770 "," 8,451 "," 29,858 "," 8,461 ",,,
Kilmaurs,S19001621," 2,780 ", 442 ," 1,738 ", 600 ,,,
Kilsyth,S19001622," 10,080 "," 1,762 "," 6,323 "," 1,995 ",,,
Kilwinning,S19001623," 16,460 "," 3,085 "," 10,366 "," 3,009 ",,,
Kincardine,S19001624," 2,750 ", 373 ," 1,690 ", 687 ,,,
Kinghorn,S19001625," 2,840 ", 423 ," 1,684 ", 733 ,,,
Kinglassie,S19001626," 1,900 ", 399 ," 1,231 ", 270 ,,,
Kingseat (Aberdeenshire),S19001627, 750 , 223 , 497 , 30 ,,,
Kingseat (Fife),S19001628, 750 , 97 , 426 , 227 ,,,
Kingskettle and Kettlebridge,S19001629," 1,040 ", 162 , 642 , 236 ,,,
Kingswells,S19001630," 4,740 "," 1,077 "," 3,075 ", 588 ,,,
Kingussie,S19001631," 1,480 ", 213 , 913 , 354 ,,,
Kinlochleven,S19001632, 810 , 125 , 492 , 193 ,,,
Kinloss,S19001633," 1,500 ", 414 ," 1,013 ", 73 ,,,
Kinnesswood,S19001634, 520 , 82 , 305 , 133 ,,,
